SPCássia Dos Coqueiros;351090;3510906;SP;Cássia Dos Coqueiros;Região Sudeste;2634;Pequeno I;;
SPCastilho;351100;3511003;SP;Castilho;Região Sudeste;18003;Pequeno I;;
SPCatanduva;351110;3511102;SP;Catanduva;Região Sudeste;112820;Grande;;
SPCatiguá;351120;3511201;SP;Catiguá;Região Sudeste;7127;Pequeno I;;
SPCedral;351130;3511300;SP;Cedral;Região Sudeste;7972;Pequeno I;;
SPCerqueira César;351140;3511409;SP;Cerqueira César;Região Sudeste;17532;Pequeno I;;
SPCerquilho;351150;3511508;SP;Cerquilho;Região Sudeste;39617;Pequeno II;;
SPCesário Lange;351160;3511607;SP;Cesário Lange;Região Sudeste;15540;Pequeno I;;
SPCharqueada;351170;3511706;SP;Charqueada;Região Sudeste;15085;Pequeno I;;
SPClementina;351190;3511904;SP;Clementina;Região Sudeste;7065;Pequeno I;;
SPColina;351200;3512001;SP;Colina;Região Sudeste;17371;Pequeno I;;
SPColômbia;351210;3512100;SP;Colômbia;Região Sudeste;5994;Pequeno I;;
SPConchal;351220;3512209;SP;Conchal;Região Sudeste;25229;Pequeno II;;
SPConchas;351230;3512308;SP;Conchas;Região Sudeste;16288;Pequeno I;;
SPCordeirópolis;351240;3512407;SP;Cordeirópolis;Região Sudeste;21080;Pequeno II;;
SPCoroados;351250;3512506;SP;Coroados;Região Sudeste;5238;Pequeno I;;
SPCoronel Macedo;351260;3512605;SP;Coronel Macedo;Região Sudeste;5001;Pequeno I;;
SPCorumbataí;351270;3512704;SP;Corumbataí;Região Sudeste;3874;Pequeno I;;
SPCosmópolis;351280;3512803;SP;Cosmópolis;Região Sudeste;58827;Médio;;
SPCosmorama;351290;3512902;SP;Cosmorama;Região Sudeste;7214;Pequeno I;;
SPCotia;351300;3513009;SP;Cotia;Região Sudeste;201150;Grande;;
SPCravinhos;351310;3513108;SP;Cravinhos;Região Sudeste;31691;Pequeno II;;
SPCristais Paulista;351320;3513207;SP;Cristais Paulista;Região Sudeste;7588;Pequeno I;;
